date_heure_passage,numero_plaque
2026-02-10 05:42:50,**ONLY**THEPLATETEXTINUPPERCASELETTERSANDNUMBERSONLYNOSPACESORDASHS
2026-02-10 05:42:55,CMGOIRU
2026-02-10 05:42:55,CM6190N
2026-02-10 05:42:58,CW633TA
2026-02-10 05:43:26,AM546LZ
2026-02-10 05:43:50,AT423FR
2026-02-10 05:43:53,UFUBQFE
2026-02-10 05:44:16,FL6810F
2026-02-10 05:44:16,FL6810W
2026-02-10 05:44:16,FC48177
2026-02-10 05:44:25,ML76632
2026-02-10 05:44:25,GS681LE
2026-02-10 05:44:26,681LE**
2026-02-10 05:44:59,X2460T*
2026-02-10 05:45:02,GK767OK
2026-02-10 05:45:28,GQ400WW
2026-02-10 05:45:28,GO400W*
2026-02-10 05:45:38,EX38418
2026-02-10 05:45:38,EK384YX
2026-02-10 05:45:38,EX48674
2026-02-10 05:46:38,GB055ES
2026-02-10 05:46:39,GB055E*
2026-02-10 05:46:46,BC912PD
2026-02-10 05:46:46,BG912PD
2026-02-10 05:46:46,BG912PE
2026-02-10 05:47:02,BK515MG
2026-02-10 05:47:02,RK515MO
2026-02-10 05:47:03,FF285SW
2026-02-10 05:47:09,UM24N**
2026-02-10 05:47:19,AN802TL
2026-02-10 05:47:20,AH802TL
2026-02-10 05:47:20,H80211*
2026-02-10 05:48:03,FB040JH
2026-02-10 05:48:04,SILVIA*
2026-02-10 05:48:09,BG493SR
2026-02-10 05:48:12,FL154PZ
2026-02-10 05:48:35,FNWY136
2026-02-10 05:48:35,UNREADABLE
2026-02-10 05:49:01,AJ1978Y
2026-02-10 05:49:01,AJ197RV
2026-02-10 05:49:01,AJ197RW
2026-02-10 05:49:01,10709**
2026-02-10 05:49:09,8X189LL
2026-02-10 05:49:11,BY185DB
2026-02-10 05:49:15,GC461RB
2026-02-10 05:49:37,EE230MD
2026-02-10 05:49:37,EE230HD
2026-02-10 05:49:37,EE230ND
2026-02-10 05:49:37,JSONPLATE
2026-02-10 05:49:40,CX818X*
2026-02-10 05:49:56,DF590RR
2026-02-10 05:50:06,GO42NW*
2026-02-10 05:50:06,GO427NX
2026-02-10 05:50:06,G0427MX
2026-02-10 05:50:07,GQ427WX
